rank,word,part_of_speech,definition,japanese,example
1,the,determiner,used to refer to something already mentioned,その,The door is already open.
2,be,verb,To exist; to be alive; used to give information about someone or something,～である；なる,We will be ready soon.
3,and,conjunction,used to refer to two or more things,～と;そして,Parks and streets matter.
4,of,preposition,belonging to or connected with something,～の；～から；～について,All of them are connected.
5,to,preposition,move towards; in the direction of,～へ；～に；～まで；～に対して；～すること；～ために,We walked to school.
6,a,determiner,one (of something),一つの,I saw a small bird.
7,in,preposition,being inside something,〜の中の,The keys are in the bag.
8,have,auxiliary verb,"to own, possess, or hold something",持っている,I have a small garden.
9,it,pronoun,a thing that has been previously mentioned,(先行するものを指して)それ,It has been mentioned several times.
10,you,pronoun,person someone is speaking or writing to,あなた,They want to speak with you.
11,he,pronoun,object form of a male person you are talking about,彼,He was talking about me.
12,for,preposition,"used to show the purpose, or need of something",～のために；～に向かって；～にとって；～に関して；～に賛成して；～の代わりに；～だから,For what purpose do you need it?
13,they,pronoun,"used to refer to two or more people, animals, or things",彼ら；彼女ら；それら,They are people of a kind.
14,not,adverb,"word indicating the negative of verbs, adjectives, etc.",～ではない,This is not the answer.
15,that,pronoun,used to show which person or thing we are talking about,それ；あれ；そのようなこと，その；あの，それくらい,Tom talked about things that interested him.
16,we,pronoun,used to refer to the speaker and other people together,私達,We used to do that together.
17,on,preposition,"located on the surface of something (e.g., a table or wall)",～の上にある,There's a picture on the wall.
18,with,preposition,used to express that people or things are together,～と一緒に; ～で；～の一員で；～に賛成して；～した状態で,They're people we work with.
19,this,pronoun,"person, thing, or idea near you",この，これ，こんなに,"This was my idea, not Tom's."
20,I,pronoun,the person who is speaking or writing,私,Who am I currently speaking to?
21,do,verb,to act; to perform actions,する,Act the way you always do.
22,as,preposition,a word used to compare two equal things,同じぐらい；～のように;～なので,This is as big as that.
23,at,preposition,in the place where something is,～の所で；～に,Find them at that place.
24,she,pronoun,female person or animal mentioned before,彼女,She admires the animals.
25,but,conjunction,"used before you say something different, opposite",でも,"It's easy to say, but not to do."
26,from,preposition,"starting at a particular place, time, or level",～から；～出身の,We started from scratch.
27,by,preposition,near; with,～の近くに；沿って,The cafe is by the station.
28,will,auxiliary verb,used with verbs to express the future,～するつもりである；～でしょう；どうしても～するものだ；～しなさい；～することがある,We will start tomorrow morning.
29,or,conjunction,"used to link alternatives, to introduce another choice",または,Tea or coffee will work.
30,say,verb,to use words to tell a message,言う；言葉を使う,Can I say a word?
31,go,verb,to move or travel to another place,行く,We go to work early.
32,so,conjunction,for that reason,その理由で,"I was tired, so I rested."
33,all,adverb,completely; totally,すべて,The floor was all wet.
34,if,conjunction,introducing a condition for something to happen,もし,Call me if you need help.
35,one,number,number 1,一つ；人;もの,I need one more chair.
36,would,auxiliary verb,"modal verb used to indicate possibility, request, etc.",～だろう；～したい；よく～したものだった；～しようとしてきかない,I would like some water.
37,about,preposition,of (a subject); concerning,～について,We talked about the project.
38,can,auxiliary verb,to be able to; have the skill to; have the time to,〜することができる,I can finish this today.
39,which,adjective,question word to ask about a person's choice,どちら,Which option do you prefer?
40,there,adverb,"in that place or position, at that location",そこ；あそこ；そこで；そこに,I will go there in place of you.
41,know,verb,to have knowledge of things in your mind,知っている,I know you've got things on your mind.
42,more,adjective,"greater in amount, number, or size",もっと,The number of volunteers grew more and more.
43,get,verb,"to obtain, receive, or be given something",得る；受ける,Do you get what he means?
44,who,pronoun,"what or which person or people, to ask about, talking about",誰,Who do you ask about?
45,like,verb,to find something pleasing; to prefer something,好む,Did you find something you like?
46,when,noun,word you use to ask about the time or day,いつ,When will the meeting start?
47,think,verb,"to have an idea, opinion, or belief about something",考える；思う,I think he has an idea.
48,make,verb,to create something by putting things together,作る,We'll make it together!
49,time,noun,"something measured in minutes, hours, days, etc.",時間,What's the time now in hours and minutes?
50,see,verb,to use your eyes to look at something,見る,We see with our eyes.
