1201,ball,noun,small round object often used in a game or sport,ボール；球,The ball is round.
1202,cry,verb,to produce tears and sounds because of pain,泣く,He wanted to cry.
1203,introduction,noun,making someone known to another by name,紹介,I made her acquaintance through his introduction.
1204,requirement,noun,something that is a necessity,必要条件,It's a requirement for graduation.
1205,north,noun,direction to your left when facing the rising sun,北,I'm facing the north.
1206,confirm,verb,to provide evidence to establish the truth of,確認する,Facts confirm this hypothesis.
1207,senior,adjective,having higher status or authority than another person,年上の；高齢者；役職等が上位,I am the senior officer.
1208,photo,noun,short for photograph; a picture taken by a camera,写真,It is her photo.
1209,refuse,verb,to say that you will not accept something,拒否する,I refuse to accept it.
1210,transport,verb,to carry things from one place to another,輸送,Transport the prickly pear to Bouira.
1211,emerge,verb,to rise or appear out of some background,現れる;出現する,Roads emerge because we walk them.
1212,map,noun,picture showing the geography of an area,地図,Show us a map of Algeria.
1213,concept,noun,abstract idea of something or how it works,概念,The concept is amazing.
1214,island,noun,area of land that is surrounded by water,島,Gabor found water on the island.
1215,reform,verb,to improve society by removing abuse and injustices,改革する，改革；改良,We need to reform our immigration system.
1216,neither,adjective,not one or the other; not either; none of two things,どちらも～ない,Neither answer is completely correct.
1217,football,noun,sport where 2 teams try to kick a ball in a goal; soccer,フットボール,Europeans call soccer football.
1218,survive,verb,to continue to live despite illness or trouble,耐える；生き残る,He has the strength to survive the illness.
1219,flight,noun,act of flying,飛行,Have a good flight!
1220,left,noun,side of your body your heart is on,左,Tom is sitting to my left.
1221,solve,verb,to find a way to deal with a problem,解決する,We have a problem to solve.
1222,neighbor,noun,"person who lives, or is near, you",隣人,I'm your next-door neighbor.
1223,background,noun,"images, color, or information behind the main one",背景,The portrait had a dark background.
1224,technique,noun,way of doing by using special knowledge or skill,技術,He mastered the technique quickly.
1225,traffic,noun,amount of activity over a communication system,通信量；交通,Internet traffic increased today.
1226,improvement,noun,addition or change that makes something better,改善,Improvement builds stronger foundations.
1227,tool,noun,"device used to make things (e.g., a hammer or driver)",ツール,He was used as a tool.
1228,consequence,noun,outcome of an event; result,結果,What happened in consequence?
1229,circumstance,noun,condition or fact that affects a situation,状況,The circumstance was really complex.
1230,smoke,verb,to breathe in through a cigarette and then blow it out,喫煙,I have to smoke a cigarette.
1231,reaction,noun,feeling or action in response to something,反応,Don't mistake reaction for action.
1232,rain,noun,drops of water that fall out of clouds in the sky,雨,Rain is water falling from clouds.
1233,busy,adjective,working hard doing something; full of activity,忙しい,I'm busy doing something important.
1234,lesson,noun,a time or event where teaching and learning occur; class,学課；授業,"In Soviet Russia, lesson teaches teacher!"
1235,brain,noun,part of the head that thinks and controls your body,脳；頭脳,"The brain thinks, life goes on."
1236,mass,noun,"a large amount of something, often of no particular shape",質量,The mass is a mess.
1237,funny,adjective,causing laughter; amusing,おかしい；妙な,He amused us with funny stories.
1238,contribute,verb,give something of value to or help someone or something,寄付する,It feels good to contribute.
1239,failure,noun,act or result of not achieving your goals,失敗；落第；不足,His efforts resulted in failure.
1240,schedule,verb,to arrange a time to do something with others,スケジュール,Let's schedule a meeting.
1241,speaker,noun,person who makes a speech before a group,話す人；演説者,The crowd gathered around the speaker.
1242,bottom,noun,lowest part of something; part on which it rests,底,I'm a total bottom.
1243,adopt,verb,to take on responsibility for something,採用する；取り入れる,We adopt him as our representative.
1244,combine,verb,to mix several things together to form one thing,組み合わせる,Combine all ingredients and mix well.
1245,mountain,noun,"very high piece of land, higher than a hill",山,That mountain is high.
1246,waste,verb,to use valuable things ineffectively,むだに使う；浪費する,Don't waste your allowance on useless things.
1247,hide,verb,to put a thing where it can't be found; go where you won't be found,隠す,Hide your weapons where they can't be found.
1248,marriage,noun,formal relationship between a husband and a wife,結婚,Their relationship blossomed into a marriage.
1249,ticket,noun,piece of paper that lets you enter or use something,切符；チケット,This is a paper ticket.
1250,meal,noun,"food for eating at a particular time (e.g., dinner)",食事,Don't eat sweets between meal times.
1251,colleague,noun,someone who works with you; coworker,同僚,Carlos is my colleague at work.
