rank,word,old_japanese,new_japanese,reason
90,need,必要,必要とする；～する必要がある,verb sense clarity
142,interest,興味；関心,興味を持たせる；関心を引く,verb sense clarity
229,love,愛,愛する；大好きである,verb sense clarity
253,less,もっと少なく,より少ない,adjective sense clarity
274,line,線，並ぶ；線を引く；覆い隠す,線；細い線,noun sense clarity
412,sense,感覚,感じ取る；察知する,verb sense clarity
423,research,研究,研究する；調査する,verb sense clarity
427,near,近く；近くに,近い,adjective sense clarity
431,staff,職員，職員を配置する,職員；スタッフ,noun sense clarity
441,design,設計,設計する；デザインする,verb sense clarity
462,rise,上昇,上昇する；上がる,verb sense clarity
479,phone,電話,電話する,verb sense clarity
516,range,範囲，範囲に及ぶ；並べる,範囲；幅,noun sense clarity
522,accord,一致する,一致；合意,noun sense clarity
582,lie,嘘,嘘をつく,verb sense clarity
620,laugh,笑う，笑い,笑う,verb sense clarity
632,attack,攻撃,攻撃する,verb sense clarity
647,campaign,運動；キャンペーン,運動する；キャンペーンを行う,verb sense clarity
649,pause,一時停止,一時停止する；中断する,verb sense clarity
653,worry,心配,心配する,verb sense clarity
680,influence,影響を与える，影響,影響を与える；左右する,verb sense clarity
681,respect,尊敬,尊敬する,verb sense clarity
724,direct,直接,指示する；指揮する,verb sense clarity
732,race,競争，競争する,競争；レース,noun sense clarity
743,mark,印,印をつける；記号をつける,verb sense clarity
784,interview,面接；インタビュー,面接する；インタビューする,verb sense clarity
794,aim,目指す,狙い；照準,noun sense clarity
814,supply,供給,供給する,verb sense clarity
844,advance,前進,前進する；進む,verb sense clarity
874,doubt,疑問に思う,疑い；疑念,noun sense clarity
878,reference,参照,参照する；引用する,verb sense clarity
889,search,捜す，捜索,捜す；検索する,verb sense clarity
907,balance,残高,バランスを取る；釣り合わせる,verb sense correction
908,damage,損害，損害を与える,損害；被害,noun sense clarity
990,smile,ほほえむ，笑顔,ほほえむ；微笑む,verb sense clarity
1002,purchase,購入,購入する；買う,verb sense clarity
1003,shoot,シュート,シュートする,verb sense clarity
1032,correct,正しい，訂正する,正しい；正確な,adjective sense clarity
1044,stress,ストレス,ストレスを感じる；緊張する,verb sense clarity
